-9981,W:JAG,TRUE,25/6/1984
-9973,EN8MT,TRUE,20/5/2005
-9968,8KAX2,FALSE,17/2/2017
-9967,/E3S?,TRUE,21/12/2009
-9966,G8.9/,FALSE,7/3/1997
-9964,44M@@,FALSE,19/2/1989
-9960,7>?8R,TRUE,23/5/1992
-9958,6SV-J,FALSE,15/11/2010
-9955,THY.G,TRUE,17/8/1993
-9947,H>/4D,FALSE,7/6/2010
-9945,/BJ1E,TRUE,4/12/2001
-9945,/X;2E,FALSE,26/5/1990
-9941,02Z5=,FALSE,14/10/2004
-9926,9BS?H,FALSE,24/7/1986
-9924,KTJ:/,FALSE,12/7/1980
-9922,-WCKR,FALSE,25/9/2006
-9920,O=<?S,FALSE,9/12/1991
-9920,QN9JE,FALSE,21/12/1995
-9919,L29CL,TRUE,22/5/1987
-9917,CO;7Z,TRUE,17/8/2011
-9916,B=B/-,FALSE,17/4/2011
-9915,<HZ;L,TRUE,17/8/1987
-9911,;S.UP,TRUE,1/10/1986
-9895,.?V2N,FALSE,23/1/2010
-9892,3@F2U,TRUE,18/4/1998
-9887,A7;7J,FALSE,8/4/2007
-9887,PKA<A,FALSE,19/6/1986
-9881,5XUU2,TRUE,2/8/2016
-9881,8XE??,FALSE,24/4/1993
-9880,LD2OQ,TRUE,27/3/2015
-9879,VHPN<,TRUE,3/7/1980
-9877,F7L?H,TRUE,14/8/1987
-9870,CO:/Q,TRUE,11/9/2012
-9865,KOF;6,TRUE,8/4/2015
-9856,34RGY,FALSE,20/5/1995
-9846,7FZPT,TRUE,9/3/1989
-9845,V:O4?,TRUE,10/1/2000
-9844,9XS>Y,TRUE,7/7/1995
-9841,AQ:>X,TRUE,17/8/2014
-9835,OAYIR,FALSE,17/1/2005
-9830,82;SA,FALSE,13/5/1994
-9827,:C<?D,FALSE,11/12/2017
-9824,@.WPH,TRUE,3/10/1988
-9822,KHDC-,TRUE,8/5/1980
-9819,B=QOR,TRUE,16/6/2004
-9819,JUO>U,TRUE,12/2/2015
-9811,?Y0YC,TRUE,12/7/2003
-9811,B2K2>,TRUE,14/8/1997
-9810,6EVW-,FALSE,1/5/1987
-9802,U75X=,FALSE,6/9/2010
-9801,72I.>,TRUE,1/9/1984
-9796,@OQSI,TRUE,13/2/2016
-9794,47J?=,FALSE,11/6/1990
-9793,=::PJ,TRUE,15/4/1991
-9791,JXSBI,TRUE,4/11/2009
-9791,LHPSI,TRUE,3/7/2013
-9786,U2L46,FALSE,20/10/2015
-9782,@AG.2,TRUE,10/2/1999
-9781,1ISM6,FALSE,7/3/2015
-9778,.0=5N,FALSE,7/7/1994
-9774,J;QB3,TRUE,12/5/2004
-9774,ZDT-B,TRUE,15/11/2014
-9766,.=-K.,TRUE,20/11/2003
-9765,/X:E8,FALSE,6/9/2000
-9765,@W=3S,TRUE,13/4/1985
-9765,W>0LA,TRUE,26/6/2014
-9764,EY2?<,TRUE,8/1/1993
-9763,9GHOI,TRUE,1/5/1982
-9762,J3TX:,FALSE,15/5/2008
-9759,GZM:N,FALSE,28/10/2011
-9756,5L9E.,TRUE,24/2/2013
-9755,LB.P3,TRUE,9/6/1980
-9752,C5@:J,TRUE,13/3/1986
-9749,43Z88,TRUE,28/9/2009
-9748,O8BPO,FALSE,13/8/1983
-9742,EQA9A,TRUE,21/6/2017
-9742,V@S.S,TRUE,26/8/1993
-9733,1E-J3,FALSE,12/3/1982
